gender,family_support,internet,higher_edu,activities,romantic,absences,study_time,failures,G1,G2,G3
F,medium,1,1,1,1,16,2,0,11,11,10
M,high,1,1,0,1,8,1,0,10,11,11
M,high,1,1,1,0,0,2,0,14,15,15
M,medium,1,1,0,0,0,1,0,9,10,10
F,medium,1,1,1,0,14,2,1,10,11,11
F,high,1,1,1,1,4,2,0,10,11,11
F,medium,1,1,0,0,6,2,0,13,12,13
M,high,1,1,1,0,2,4,0,17,17,17
M,high,0,1,0,0,4,2,0,11,12,13
F,high,1,1,1,0,2,2,0,13,12,12
F,medium,1,1,0,0,0,2,0,14,13,13
F,high,1,1,0,0,0,2,0,16,14,16
M,high,0,1,0,0,4,1,0,10,9,9
F,high,1,1,0,0,0,1,0,13,12,12
F,medium,1,1,0,0,0,1,0,13,12,13
F,medium,1,1,1,1,2,2,0,12,13,12
F,high,1,1,1,0,0,2,0,15,14,15
M,high,0,1,1,0,8,2,0,15,15,16
M,low,1,1,1,0,0,2,0,14,13,14
F,high,1,1,0,0,2,2,0,16,15,16
F,high,0,1,1,0,0,2,0,17,16,16
F,low,1,1,1,1,0,1,0,10,10,16
F,low,1,1,1,0,0,2,0,13,13,10
F,high,1,1,1,0,0,3,0,14,13,13
F,high,1,1,1,1,0,2,0,13,12,12
F,high,1,1,1,0,2,2,0,16,15,16
M,high,1,1,1,1,0,4,0,11,12,12
F,medium,1,1,0,0,0,4,0,10,9,10
F,medium,1,1,0,0,0,2,0,11,10,11
F,medium,1,1,0,0,6,4,0,15,15,15
M,medium,1,1,0,0,2,4,0,13,11,11
M,high,1,1,0,0,0,4,0,11,9,10
F,low,1,1,0,1,2,2,0,13,11,11
M,medium,0,1,1,0,0,1,0,13,13,14
F,medium,1,1,1,0,4,2,0,11,11,11
M,high,1,1,1,0,0,2,0,11,11,11
M,high,1,1,1,0,0,4,0,12,11,11
F,medium,1,1,0,1,1,4,0,13,13,13
M,medium,1,0,1,0,0,1,3,9,9,10
F,medium,1,1,0,0,14,2,0,12,11,11
M,medium,1,1,1,1,0,1,0,11,11,12
M,medium,1,1,0,0,2,3,0,10,9,9
F,medium,1,1,0,0,4,2,0,12,11,11
M,medium,1,1,1,0,2,2,0,13,12,13
F,low,1,1,1,0,2,2,0,13,12,12
F,high,1,1,0,1,4,2,0,12,11,12
F,medium,0,1,0,0,6,2,0,13,11,11
F,high,1,1,1,0,4,3,0,15,15,15
M,medium,1,1,1,0,6,2,0,12,10,11
M,high,0,1,0,0,6,2,0,9,9,10
F,medium,1,1,0,1,2,3,0,9,11,11
F,high,1,1,1,0,6,1,0,14,13,13
F,medium,0,1,0,0,0,2,0,12,13,12
F,high,1,1,1,0,2,2,0,13,14,14
M,medium,1,1,1,0,2,4,0,11,12,12
F,low,1,1,1,0,4,4,0,13,13,13
M,high,1,1,1,0,6,1,0,9,11,11
F,medium,0,1,0,1,0,2,0,13,12,12
F,high,1,1,1,0,4,1,0,12,13,13
F,high,1,1,0,0,2,3,0,12,13,13
M,high,1,1,1,0,12,1,0,9,9,8
M,high,1,1,1,1,0,3,0,16,16,16
M,high,1,1,1,0,2,1,0,12,13,12
F,medium,1,1,0,0,16,2,0,11,10,10
M,medium,1,1,1,0,0,2,0,16,16,16
F,medium,0,1,0,0,10,4,0,10,10,10
F,medium,1,1,0,0,4,4,0,10,10,10
M,medium,1,1,1,0,4,3,0,13,14,14
M,high,1,1,1,1,8,4,0,12,10,11
F,high,1,1,1,1,2,3,0,15,15,14
M,high,1,1,1,0,4,1,0,13,14,14
F,medium,1,1,1,0,4,3,0,11,11,11
F,medium,1,1,1,0,12,2,1,8,10,10
M,high,1,1,0,0,10,1,0,18,17,18
M,medium,1,1,1,1,4,2,0,10,9,10
M,high,1,1,1,0,6,2,0,16,14,14
M,high,0,1,1,0,4,2,0,16,15,16
M,medium,1,1,1,0,6,1,0,14,14,15
M,low,1,1,1,0,14,2,1,12,11,11
M,medium,1,1,0,0,2,1,0,14,13,14
F,low,1,1,0,0,0,2,0,14,14,14
M,medium,1,1,1,0,6,4,0,14,13,13
F,medium,1,1,1,1,2,2,0,14,12,13
M,high,1,1,1,0,4,1,0,12,13,13
F,medium,1,1,0,1,0,2,0,12,11,11
M,medium,1,1,0,0,2,1,0,9,9,9
F,medium,1,1,1,1,0,2,0,10,11,11
F,low,0,0,0,0,0,2,2,9,10,11
M,high,1,1,1,0,8,1,0,14,14,15
M,medium,1,1,0,1,4,3,0,13,12,13
F,medium,1,1,0,1,0,3,0,10,11,12
F,medium,1,0,1,1,10,2,3,10,9,8
F,medium,1,1,0,0,8,1,0,11,10,11
F,low,1,1,1,1,6,1,0,11,12,13
F,medium,1,1,0,1,2,1,0,13,12,12
F,medium,1,1,0,0,12,1,0,15,13,14
M,medium,0,1,0,0,4,1,0,9,9,11
F,medium,0,1,0,0,12,1,1,13,11,11
M,medium,0,1,0,1,2,2,0,12,11,11
F,high,1,1,1,1,4,3,0,13,14,15
M,medium,0,1,0,0,2,2,0,10,9,10
F,low,0,1,0,0,0,2,0,14,13,13
M,medium,1,1,1,1,2,1,0,11,11,12
F,medium,1,1,1,1,10,3,0,12,11,11
F,low,0,1,1,1,8,1,0,12,11,11
F,medium,1,1,1,1,4,1,0,9,9,10
M,low,0,1,0,1,0,2,2,10,10,10
F,high,1,1,1,0,6,1,0,13,14,14
F,low,1,1,1,1,2,1,1,8,9,9
M,high,1,1,0,0,6,4,0,9,11,11
F,medium,0,1,0,1,24,2,0,9,8,9
M,high,1,1,1,0,0,3,0,15,13,13
M,medium,1,1,1,0,4,1,0,12,11,11
F,high,1,1,1,0,2,3,0,13,13,13
F,low,1,1,0,0,4,1,0,10,11,11
M,medium,1,1,0,0,22,1,0,9,7,6
F,low,1,1,0,0,0,2,0,12,12,12
F,medium,1,0,1,1,0,1,0,11,10,10
F,medium,1,1,0,0,2,2,1,11,11,11
F,low,1,1,0,0,6,2,0,13,12,13
F,low,0,1,0,1,6,2,0,11,11,11
M,high,1,0,0,1,16,1,0,9,9,8
M,medium,1,1,0,0,0,1,0,12,11,11
M,low,1,0,0,1,0,1,2,11,9,0
M,medium,0,1,1,1,6,1,1,9,10,10
F,medium,1,1,1,1,2,3,0,13,13,13
M,medium,1,0,0,1,6,1,0,11,9,11
F,high,0,1,0,1,0,1,0,13,13,13
M,medium,0,1,1,0,0,2,0,7,8,8
M,low,0,1,0,0,14,1,3,9,8,10
F,low,0,1,1,0,6,1,3,11,10,11
M,medium,0,1,0,0,4,1,0,12,10,11
M,medium,1,1,0,1,0,2,1,10,10,1
M,low,1,1,0,0,0,1,2,9,8,10
M,medium,1,0,1,1,8,1,1,8,8,9
M,medium,1,1,0,1,4,2,2,7,6,8
M,low,0,1,1,0,2,1,0,8,9,10
M,low,1,0,0,0,2,1,1,9,8,8
M,low,0,0,1,1,0,2,0,8,8,8
M,medium,0,0,1,0,10,1,3,8,7,8
M,medium,1,0,0,0,0,2,0,9,10,11
F,high,1,1,0,1,0,2,0,17,17,18
F,medium,1,1,0,0,0,2,0,12,12,13
F,high,1,1,0,1,0,2,0,16,16,17
M,medium,1,1,1,0,4,1,1,9,9,10
M,low,1,1,1,1,0,2,0,16,17,18
M,high,1,1,1,0,0,2,0,11,9,10
F,low,1,1,1,1,0,2,0,14,13,13
F,medium,1,1,1,0,0,2,0,14,14,15
M,high,1,1,1,0,0,2,0,10,11,11
F,medium,1,1,1,0,0,2,0,13,12,14
M,medium,1,1,1,0,4,2,0,11,9,10
M,high,1,1,1,1,8,1,0,10,9,11
M,high,1,1,1,1,4,2,0,11,11,13
M,high,1,1,1,0,4,2,0,11,10,11
M,medium,1,1,1,1,0,2,0,11,12,13
F,medium,0,1,1,0,0,2,0,17,18,17
F,medium,1,1,1,1,32,2,0,14,13,14
F,medium,1,1,0,0,8,2,0,14,15,16
M,medium,1,1,1,1,6,2,0,11,13,14
M,low,1,1,1,1,0,1,0,10,9,11
M,medium,1,1,1,1,0,2,0,13,14,16
F,medium,1,1,0,1,10,2,0,12,13,14
M,low,0,1,0,0,6,2,0,9,9,10
F,medium,1,1,0,0,6,2,0,12,12,13
F,low,1,1,1,0,0,2,0,12,11,12
M,low,1,1,1,0,16,2,0,10,11,12
M,medium,1,1,1,0,0,1,0,11,10,10
M,medium,1,1,0,0,0,1,0,13,12,12
F,medium,1,1,1,1,8,2,0,14,15,16
M,high,1,1,0,0,4,1,0,13,13,14
M,medium,1,1,1,0,16,1,0,10,11,12
F,high,1,1,0,0,30,1,1,14,15,16
F,high,1,1,0,0,0,2,0,11,10,11
F,high,1,1,1,0,2,2,0,14,14,15
F,medium,0,1,1,0,4,2,0,11,12,12
F,low,0,1,0,0,0,2,0,14,15,15
F,medium,1,1,0,0,21,1,0,13,13,13
F,medium,1,1,1,0,6,4,0,13,13,13
F,medium,1,1,0,1,14,3,1,8,9,8
F,medium,1,1,0,0,2,2,0,11,11,12
F,high,1,1,1,1,4,2,0,14,15,15
F,low,0,1,0,0,2,1,0,12,13,13
F,high,1,1,1,1,0,3,0,11,12,12
F,medium,1,1,1,0,4,4,0,12,12,12
M,high,1,1,0,1,15,2,0,13,12,12
F,medium,1,1,0,0,0,2,0,13,13,13
M,medium,1,1,1,0,10,2,0,12,11,11
F,high,0,1,0,0,6,1,0,12,11,11
F,medium,1,1,0,0,2,2,0,14,16,15
F,high,1,1,0,1,16,2,0,11,9,10
M,medium,1,1,0,0,10,2,0,10,10,10
F,medium,0,1,0,0,4,1,0,12,13,13
F,medium,1,1,1,0,0,3,0,12,12,13
F,medium,1,1,1,0,0,2,0,11,10,11
F,low,0,1,1,1,12,3,0,12,12,12
F,medium,1,1,0,0,0,2,0,13,13,14
M,medium,1,1,0,0,9,2,3,10,9,10
F,high,1,1,1,0,4,3,0,15,16,16
F,medium,1,1,1,1,4,2,0,8,8,8
F,medium,1,1,1,0,2,2,0,17,18,17
M,medium,1,1,0,0,0,2,0,10,11,11
M,medium,1,1,1,1,2,2,0,9,10,11
F,medium,1,1,1,1,0,3,0,15,15,16
F,high,1,1,1,1,0,2,0,14,12,12
M,medium,1,1,1,0,0,2,0,12,13,13
M,high,1,1,1,1,0,2,0,13,13,13
M,high,1,1,1,0,0,2,0,13,13,14
M,low,1,1,0,0,2,2,0,9,9,9
M,medium,1,1,1,1,0,3,0,12,12,12
M,medium,1,1,1,1,0,2,0,16,16,16
F,medium,1,1,0,1,4,1,0,9,10,10
F,high,1,1,1,1,0,2,0,14,13,13
F,medium,1,1,0,0,18,2,1,10,10,10
F,medium,1,1,0,1,16,2,1,9,8,10
F,medium,1,0,0,0,14,1,1,8,7,7
M,medium,1,0,1,1,26,1,1,7,8,8
M,high,1,1,1,0,6,1,0,10,8,9
F,medium,0,1,1,0,4,2,0,14,14,15
F,low,1,1,1,1,10,3,0,11,10,10
F,low,1,0,0,0,4,1,0,12,11,11
F,medium,0,1,1,0,2,2,0,13,13,13
F,low,1,1,0,0,14,1,1,9,9,8
M,medium,1,0,0,0,16,2,0,8,7,8
F,medium,1,0,0,0,8,1,1,11,9,10
F,low,1,1,1,0,4,3,0,15,14,15
F,high,0,1,1,0,4,2,0,15,14,14
M,high,1,1,1,1,8,2,0,15,15,15
M,high,1,1,0,0,0,2,0,12,12,12
M,high,1,1,1,0,7,1,0,14,14,15
M,high,1,1,1,0,4,1,0,14,15,15
F,high,1,1,0,1,2,2,0,11,11,12
M,low,1,1,0,1,2,3,0,13,14,15
F,medium,1,1,0,1,10,3,0,11,11,11
F,low,0,1,0,1,10,2,0,10,9,10
F,medium,1,1,0,1,10,3,0,12,10,11
M,medium,1,1,0,0,7,1,0,15,16,16
F,low,0,1,0,0,4,2,0,11,10,11
M,medium,1,1,0,0,2,1,0,9,12,13
M,medium,1,0,0,1,12,1,3,7,8,5
M,medium,1,1,0,1,8,2,0,10,9,10
M,low,1,1,0,0,0,1,0,11,12,11
M,medium,1,0,0,0,8,1,0,7,8,7
M,medium,1,1,0,0,4,2,1,9,11,10
M,medium,1,0,0,0,4,1,2,7,8,6
M,medium,0,1,1,0,2,1,0,14,13,12
M,medium,1,1,0,0,0,1,0,12,12,13
M,low,1,1,1,0,0,1,1,9,10,10
F,medium,1,1,0,1,2,2,0,12,12,13
F,high,1,1,1,0,2,4,0,14,15,17
F,medium,1,1,0,0,0,2,0,10,10,11
M,medium,1,0,1,0,4,2,1,11,10,11
F,high,1,1,1,0,2,3,0,11,12,14
F,low,0,1,0,0,4,3,0,11,12,14
F,medium,0,1,0,0,4,2,0,11,11,13
M,high,1,1,0,0,4,2,0,11,13,14
M,medium,1,1,1,0,2,2,0,16,16,16
M,medium,0,0,0,0,0,1,0,9,10,10
F,medium,1,1,1,1,2,4,0,10,11,12
F,medium,1,0,1,1,8,2,0,10,12,12
F,high,1,1,0,1,2,2,0,15,15,15
M,high,1,1,0,0,2,2,0,10,10,11
M,medium,0,1,1,0,2,3,0,10,11,12
F,medium,0,1,1,0,2,3,0,15,12,13
F,medium,1,1,1,1,0,3,0,11,12,13
M,medium,1,0,0,0,8,1,0,8,8,9
M,medium,1,1,1,0,6,2,0,15,16,16
M,medium,1,1,1,1,0,2,0,11,11,14
F,high,1,1,1,0,8,2,0,10,11,12
M,high,1,1,1,1,4,2,0,10,12,14
F,medium,1,0,0,1,12,2,0,8,9,10
F,medium,1,1,1,0,16,2,0,11,12,12
F,medium,1,1,1,1,10,4,0,16,16,16
F,low,0,1,0,0,2,2,0,13,13,13
M,low,0,1,1,1,2,2,0,16,17,18
F,medium,1,1,0,1,8,2,0,14,14,15
F,medium,1,1,0,1,6,2,0,15,16,16
F,medium,1,1,0,1,6,2,0,12,12,12
F,medium,1,0,0,1,15,2,0,12,9,10
M,high,1,1,1,0,6,1,0,11,12,12
F,high,1,1,1,1,2,2,1,14,12,13
F,medium,1,1,0,1,8,3,0,13,15,15
F,medium,1,0,0,0,0,2,1,9,8,10
M,high,1,1,1,0,0,1,0,10,10,10
M,low,1,0,0,0,10,1,0,10,10,11
M,high,1,1,1,1,22,1,0,11,11,10
M,medium,1,1,0,0,18,1,0,13,13,13
F,low,0,1,1,0,2,4,0,17,17,18
F,low,1,1,1,0,0,2,0,12,13,13
F,medium,1,1,0,0,12,2,0,12,12,14
F,medium,1,1,1,1,10,2,0,12,13,14
M,low,1,1,0,0,0,2,0,12,12,12
F,medium,1,1,0,0,0,3,0,18,18,18
F,low,1,1,0,0,0,3,0,13,13,14
M,medium,1,1,1,0,0,3,0,14,15,15
M,high,1,1,1,0,0,2,0,17,17,17
M,high,1,1,1,1,2,2,0,15,16,16
F,high,1,1,0,0,0,3,0,17,18,18
F,medium,0,1,0,0,0,4,0,18,19,19
M,medium,1,1,1,0,0,3,0,14,15,15
M,medium,1,1,0,0,0,1,0,14,15,15
F,high,1,1,1,0,2,2,0,14,13,13
F,high,1,1,0,1,0,2,0,13,14,14
F,high,1,1,0,0,0,4,0,16,17,17
M,high,1,1,0,1,0,1,0,18,18,17
F,high,1,1,0,1,0,2,0,14,15,15
M,high,1,1,0,0,0,1,0,12,13,13
F,high,1,1,1,0,0,3,0,7,7,8
F,high,1,1,0,0,0,3,0,16,16,16
F,medium,1,1,1,0,0,4,0,18,18,18
M,medium,1,1,1,1,0,3,1,9,10,11
M,medium,0,1,1,0,0,1,2,14,15,15
M,medium,0,1,1,1,0,2,0,10,10,11
F,low,0,1,0,1,2,2,0,10,10,11
F,medium,1,1,1,0,2,2,0,12,12,15
F,medium,1,1,1,1,2,2,0,11,12,14
F,high,1,1,1,0,2,1,0,15,16,17
F,high,1,1,1,1,2,3,0,14,15,17
F,high,1,1,0,0,8,1,0,12,12,15
F,medium,1,1,1,0,2,3,0,15,15,17
F,medium,1,1,0,0,8,2,0,11,12,14
M,high,1,1,1,1,9,2,0,11,10,10
F,high,1,1,0,0,0,2,0,12,11,13
F,medium,1,1,1,1,4,1,0,11,12,14
F,high,1,1,1,0,2,1,0,14,15,17
F,high,1,1,0,1,14,2,0,15,14,17
F,medium,1,1,0,0,0,2,0,12,12,13
F,medium,1,1,1,0,2,2,0,11,12,14
M,high,1,1,0,0,2,1,0,8,9,11
F,low,0,0,1,1,12,3,0,10,10,11
F,low,1,1,0,1,2,2,2,8,8,9
F,medium,1,1,1,1,2,1,0,10,10,10
F,medium,0,1,0,1,4,2,0,14,13,13
F,medium,1,1,1,0,0,3,0,11,11,10
F,medium,1,1,0,0,0,3,0,17,18,17
F,low,1,1,0,0,0,3,0,14,14,15
F,low,1,1,1,0,0,3,0,14,14,14
M,high,1,1,1,0,0,3,0,13,14,13
M,medium,1,1,1,0,0,1,0,17,18,17
M,medium,1,1,0,0,2,1,0,11,10,10
F,high,1,1,1,0,0,3,0,13,12,13
F,high,1,1,0,1,4,3,0,15,14,15
F,medium,1,1,1,0,2,1,0,11,12,11
M,medium,1,1,1,0,0,4,0,11,11,12
M,medium,0,1,0,1,0,1,0,11,10,10
F,medium,0,1,1,1,2,2,0,10,9,10
F,medium,1,1,0,1,0,3,0,15,15,15
M,medium,1,1,0,0,6,1,0,15,14,15
F,medium,1,1,1,0,8,2,0,10,11,12
F,medium,1,1,1,1,0,2,0,10,9,12
F,medium,0,1,1,0,6,4,0,14,13,14
F,medium,1,1,0,0,8,3,0,11,13,14
F,medium,1,1,0,1,0,2,0,12,13,15
F,medium,1,1,0,0,4,4,0,14,14,15
F,medium,1,1,0,0,0,2,0,14,14,16
M,high,1,1,1,0,0,2,0,12,12,13
M,medium,1,1,1,1,6,2,0,16,16,17
F,medium,1,1,0,1,18,2,0,10,12,14
F,medium,1,1,0,0,0,3,0,11,12,14
F,medium,1,1,0,1,4,3,0,14,16,17
M,high,1,1,0,1,4,3,0,15,14,17
M,high,1,1,0,1,0,3,0,14,13,14
F,high,1,1,1,1,0,3,0,11,12,13
F,medium,1,1,1,1,10,2,0,12,15,15
F,medium,1,1,1,0,4,2,0,12,16,16
F,medium,1,0,0,0,16,1,1,10,11,11
F,medium,1,1,0,1,6,1,1,10,13,13
F,high,1,1,1,0,0,3,2,9,12,12
M,medium,1,0,1,0,11,2,0,9,11,12
M,medium,1,1,1,1,9,2,0,13,14,15
F,medium,1,1,1,0,0,2,0,13,17,17
M,high,1,1,0,0,2,3,0,12,15,15
F,high,1,1,1,0,0,2,0,14,17,17
M,low,1,0,1,1,21,2,2,9,10,10
F,low,1,1,0,1,8,3,0,11,15,15
F,high,1,1,0,1,5,1,1,9,10,11
M,medium,1,1,0,0,10,2,0,16,18,18
F,medium,1,1,0,1,5,3,0,14,17,17
M,medium,1,1,0,0,13,1,0,13,14,14
M,medium,1,1,0,0,10,1,0,7,11,11
F,medium,1,1,0,0,10,2,0,14,17,17
F,low,1,1,0,1,5,1,1,8,10,10
F,medium,1,1,1,1,4,2,0,10,13,13
F,low,1,0,0,1,11,1,0,10,11,11
F,medium,1,1,1,0,0,2,0,12,12,12
F,low,0,1,0,1,6,1,1,10,10,10
F,medium,1,1,0,0,4,1,0,10,10,11
F,medium,0,1,0,0,0,2,0,16,17,17
F,medium,0,0,0,0,0,1,0,6,8,9
M,high,0,1,0,0,5,2,0,10,11,11
M,low,1,1,0,0,0,3,0,10,11,11
F,medium,0,1,0,1,0,2,1,10,10,10
F,low,1,0,0,0,0,1,1,6,6,7
F,high,1,1,0,1,0,1,0,13,14,14
F,medium,0,0,1,1,4,4,0,10,9,11
F,low,1,1,0,0,0,2,0,10,10,10
F,low,1,1,0,1,4,1,1,6,7,8
F,low,0,1,1,0,0,1,0,12,11,12
F,medium,1,1,0,0,2,1,0,10,11,12
F,medium,1,1,0,0,0,1,0,14,16,16
M,low,0,1,1,1,0,2,0,7,0,0
M,low,1,1,0,0,4,2,0,8,9,9
M,high,1,1,1,0,0,2,0,12,13,14
M,high,1,1,1,0,7,2,0,7,9,8
M,medium,0,1,0,0,4,2,0,9,10,11
M,low,0,1,1,1,8,2,0,7,9,9
M,medium,1,1,1,0,0,2,0,11,11,11
M,medium,0,0,1,1,8,1,0,8,10,9
F,high,1,1,1,1,6,3,0,16,16,17
F,low,0,1,0,0,3,1,0,11,13,13
F,medium,1,1,0,0,2,2,0,15,15,15
M,low,0,1,0,0,0,2,0,10,11,11
F,medium,1,1,0,0,4,2,0,9,10,11
F,low,0,1,0,0,0,3,1,10,8,8
F,low,0,1,0,0,3,3,1,9,8,8
F,medium,1,1,0,0,0,2,0,9,10,9
F,low,0,1,0,1,0,2,0,13,14,15
M,low,1,1,1,0,4,1,0,10,11,11
F,low,1,1,0,0,0,4,0,13,10,13
F,low,0,1,0,0,2,3,0,10,9,10
F,low,1,1,1,0,1,2,0,11,10,11
F,low,1,1,1,1,0,1,0,13,12,14
F,low,0,1,0,0,0,2,0,13,14,14
F,medium,0,1,0,0,2,3,0,14,11,12
M,low,0,1,1,0,6,1,0,11,11,11
F,low,1,1,1,1,9,2,1,9,8,8
M,medium,0,1,0,0,0,1,0,10,9,11
F,medium,1,1,1,0,1,2,0,14,13,14
M,medium,0,1,0,0,1,1,0,13,12,13
M,high,0,1,1,1,0,2,0,13,12,13
F,medium,1,1,0,1,4,2,0,13,12,12
F,medium,0,1,1,0,2,2,1,12,11,12
F,medium,0,1,1,1,0,1,0,14,14,16
M,medium,1,1,1,0,4,1,0,10,8,10
M,low,1,1,1,0,2,1,0,10,11,11
F,medium,0,1,1,0,0,3,0,12,13,14
F,medium,1,1,0,1,2,1,0,10,8,8
M,medium,1,1,1,0,11,1,0,12,10,11
F,low,0,1,0,0,0,2,3,7,7,8
F,medium,0,0,1,0,4,1,0,9,9,10
F,medium,1,0,0,1,0,1,1,9,9,10
F,medium,0,0,1,1,2,1,0,9,10,11
F,low,0,0,0,1,0,1,0,9,10,9
F,medium,1,0,0,0,1,2,0,9,10,11
F,medium,0,0,0,0,6,1,0,7,7,8
F,medium,1,1,0,0,0,2,0,11,10,11
F,medium,1,1,1,0,1,1,1,9,10,10
F,medium,0,0,0,1,6,3,2,7,9,10
F,low,0,0,1,1,6,3,1,7,9,9
M,low,1,0,1,0,0,1,1,8,9,10
F,low,1,0,0,1,4,1,1,9,11,10
F,low,1,1,0,1,12,2,1,7,8,9
F,medium,0,1,0,1,2,2,0,8,10,10
F,low,0,1,1,0,5,1,0,9,9,10
F,low,1,0,1,0,0,2,0,8,9,9
F,medium,1,0,1,1,0,1,0,14,13,13
F,low,1,1,1,1,2,1,0,14,14,14
M,medium,0,1,1,0,0,4,1,10,11,10
F,medium,1,1,1,0,0,2,0,14,13,14
F,medium,0,1,1,1,0,1,0,17,16,16
M,low,1,0,1,1,12,1,1,6,7,7
M,high,1,1,1,0,8,1,0,14,12,13
M,medium,0,1,0,0,2,4,1,10,8,9
F,low,1,1,1,0,0,4,0,14,14,14
F,medium,1,1,0,1,0,3,0,12,13,13
F,low,1,1,1,1,0,1,0,11,11,11
F,medium,1,1,1,1,8,2,1,11,9,10
F,low,0,1,0,1,0,3,0,11,11,10
M,medium,1,1,0,0,0,1,1,10,9,9
F,low,0,1,0,0,0,2,0,16,17,18
F,medium,0,1,1,0,0,2,0,15,17,17
F,low,1,1,0,1,1,2,0,11,9,10
F,low,1,1,0,1,9,2,1,7,7,7
F,medium,1,1,1,0,0,1,0,8,6,8
F,medium,1,1,0,0,2,1,0,7,6,7
F,low,0,1,0,0,8,2,0,9,8,10
F,high,1,1,1,1,0,2,0,14,16,16
F,low,1,1,1,0,0,1,0,14,14,15
F,medium,1,1,0,0,8,2,1,8,5,8
M,medium,1,1,1,0,0,2,0,8,7,0
F,low,1,1,0,0,6,2,0,6,8,8
F,medium,1,1,1,0,0,2,0,8,10,10
F,high,1,1,0,1,4,2,0,8,8,8
M,high,1,0,1,1,2,4,0,5,6,6
F,medium,0,1,0,0,2,2,0,7,9,8
M,high,1,1,0,0,0,3,0,15,14,16
F,high,1,1,0,1,1,1,0,13,14,14
M,medium,0,1,0,0,0,3,0,10,9,10
F,medium,1,1,0,0,5,1,0,9,9,9
F,high,0,1,0,0,1,1,0,11,11,11
M,medium,1,1,1,0,8,1,0,7,10,9
M,low,1,1,0,1,0,2,0,10,10,10
M,medium,1,1,0,1,2,2,0,9,7,8
F,medium,1,1,0,1,0,2,0,14,15,16
M,high,1,1,0,0,0,1,0,11,12,12
M,low,0,1,1,0,11,2,0,9,11,10
M,medium,0,1,1,0,8,4,0,13,14,14
M,medium,1,1,1,0,11,1,0,12,13,12
F,medium,0,1,0,1,2,3,0,11,11,11
F,high,1,1,1,0,8,2,0,9,10,10
F,medium,0,1,0,1,5,1,0,9,11,11
F,medium,0,1,0,0,0,2,0,11,9,11
F,high,1,1,0,1,1,3,0,10,11,12
M,high,1,1,1,1,2,1,3,9,9,8
M,low,0,1,1,1,2,1,0,12,11,12
M,medium,1,1,1,1,8,2,1,8,9,8
F,high,1,1,0,0,0,2,0,13,15,16
M,high,1,1,0,0,0,1,0,10,11,11
F,low,1,1,1,1,2,2,0,11,10,11
F,high,1,1,0,0,0,2,0,17,18,18
M,medium,1,1,0,1,0,2,0,12,13,13
M,medium,1,1,0,0,0,2,0,13,14,13
M,low,1,0,1,0,2,2,2,9,9,10
M,low,0,1,0,1,4,1,0,11,11,12
F,low,1,0,1,1,3,1,0,10,11,10
F,low,1,1,0,1,5,3,0,13,14,13
M,low,0,1,0,0,4,1,0,9,10,11
F,medium,1,1,1,1,2,2,3,7,9,10
M,medium,0,0,1,1,0,1,0,8,13,10
M,low,0,1,0,0,0,1,1,12,12,13
M,low,1,1,1,1,0,1,0,10,9,10
M,low,0,1,1,0,6,2,0,10,9,10
F,medium,0,1,1,1,0,2,0,11,13,12
M,medium,0,1,1,1,0,1,1,7,0,0
M,medium,1,1,0,0,2,1,0,11,9,10
M,low,1,1,1,0,0,1,0,10,10,9
M,low,1,0,0,1,2,1,1,9,7,9
